1,300
2,407
3,452
4,501
5,550
6,600
7,600
8,600
9,707
10,752
11,908
12,1002
13,1101
14,1150
15,1200
16,1307
17,1352
18,1615
19,1754
20,2009
21,2152
22,2301
23,2457
24,2552
25,2922
26,3106
27,3624
28,3906
29,4310
30,4609
31,4853
32,5379
33,5658
34,6546
35,7012
36,7934
37,8515
38,9163
39,9988
40,10511
41,11925
42,12670
43,14480
44,15527
45,17097
46,18503
47,19674
48,21913
49,23181
50,26405
51,28197
52,31577
53,34030
54,36771
55,40416
56,42855
57,48318
58,51378
59,57982
60,62227
61,68348
62,74446
63,79626
64,88734
65,94233
66,106300
67,113605
68,126330
69,136673
70,147974
71,163180
72,173859
73,195034
74,207838
75,232630
76,250278
77,274304
78,299853
79,321833
80,358214
81,381697
82,427664
83,458116
84,506934
85,550131
86,596137
87,658067
88,703530
89,785878
90,839813
91,934598
92,1008247
93,1103071
94,1208198
95,1299667
96,1443945
97,1543343
98,1720476
99,1848060
100,2037669
101,2216445
102,2402738
103,2652143
104,2843010
105,3164421
106,3391403
107,3758145
108,4064505
109,4440407
110,4868588
111,5245748
112,5816564
113,6234413
114,6922566
115,7455908
116,8198552
117,8933093
118,9686155
119,10685152
120,11480161
121,12739130
122,13690321
123,15121118
124,16389001
125,17884707
126,19618245
127,21166316
128,23424282
129,25170482
130,27860248
131,30079322
132,33005825
133,36007246
134,39051023
135,43042527
136,46336798
137,51284530
138,55249804
139,60866073
140,66086568
141,72056848
142,79049773
143,85387821
144,94327057
145,101586602
146,112150603
147,121336372
148,132922921
149,145136341
150,157444669
151,173376830
152,186974423
153,206477660
154,222922974
155,245073524
156,266472713
157,290367590
158,318513171
159,344419092
160,379854490
161,409897397
162,451551184
163,489395687
164,535441114
165,584985884
1,300
2,407
3,452
4,501
5,550
6,600
7,600
8,600
9,707
10,752
11,908
12,1002
13,1101
14,1150
15,1200
16,1307
17,1352
18,1615
19,1754
20,2009
21,2152
22,2301
23,2457
24,2552
25,2922
26,3106
27,3624
28,3906
29,4310
30,4609
31,4853
32,5379
33,5658
34,6546
35,7012
36,7934
37,8515
38,9163
39,9988
40,10511
41,11925
42,12670
43,14480
44,15527
45,17097
46,18503
47,19674
48,21913
49,23181
50,26405
51,28197
52,31577
53,34030
54,36771
55,40416
56,42855
57,48318
58,51378
59,57982
60,62227
61,68348
62,74446
63,79626
64,88734
65,94233
66,106300
67,113605
68,126330
69,136673
70,147974
71,163180
72,173859
73,195034
74,207838
75,232630
76,250278
77,274304
78,299853
79,321833
80,358214
1,300
2,407
3,452
4,501
5,550
6,600
7,600
8,600
9,707
10,752
11,908
12,1002
13,1101
14,1150
15,1200
16,1307
17,1352
18,1615
19,1754
20,2009
21,2152
22,2301
23,2457
24,2552
25,2922
26,3106
27,3624
28,3906
29,4310
30,4609
31,4853
32,5379
33,5658
34,6546
35,7012
36,7934
37,8515
38,9163
39,9988
40,10511
41,11925
42,12670
43,14480
44,15527
45,17097
46,18503
47,19674
48,21913
49,23181
50,26405
51,28197
52,31577
53,34030
54,36771
55,40416
56,42855
57,48318
58,51378
59,57982
60,62227
61,68348
62,74446
63,79626
64,88734
65,94233
66,106300
67,113605
68,126330
69,136673
70,147974
71,163180
72,173859
73,195034
74,207838
75,232630
76,250278
77,274304
78,299853
79,321833
80,358214
